设置,选项名称,值
选手信息,nick,woxic
选手信息,Name,Özgür Eker
选手信息,Birthday,"September 2, 1998"
选手信息,Country,Turkey
选手信息,Team,Eternal Fire
鼠标,model,SteelSeries Sensei Ten
鼠标,DPI,1600
鼠标,Sensitivity,1.5
鼠标,eDPI,2400
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Color,5
准星设置,Blue,129
准星设置,Green,50
准星设置,Red,250
准星设置,Dot,0
准星设置,Gap,-1
准星设置,Size,3
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,100%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,None
视频设置,Global Shadow Quality,Very High
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,White
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.115
雷达,Radar Map Zoom,0.4
展示皮肤,skins,"['★ Karambit | Doppler Phase 4 (Factory New)', 'AK-47 | Slate (Minimal Wear)', 'Glock-18 | Ironwork (Minimal Wear)', 'P2000 | Gnarled (Minimal Wear)', 'Desert Eagle | Crimson Web (Minimal Wear)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,SteelSeries Sensei Ten
外设,Keyboard,Razer Huntsman V3 Pro TKL
外设,Headset,HyperX Cloud II
外设,Mousepad,Lamzu Energon
显示器设置,DyAc,Premium
显示器设置,Black eQualizer,15
显示器设置,Color Vibrance,15
显示器设置,Low Blue Light,0
显示器设置,Picture Mode,FPS 1
显示器设置,Brightness,100
显示器设置,Contrast,85
显示器设置,Sharpness,10
显示器设置,Gamma,Gamma 3
显示器设置,Color Temperature,Bluish
显示器设置,AMA,Premium
