设置,选项名称,值
选手信息,nick,kst
选手信息,Name,Francisco Fragoso
选手信息,Birthday,"November 12, 2001"
选手信息,Country,Portugal
选手信息,Team,Free Agent
鼠标,model,ZOWIE EC1-A
鼠标,DPI,400
鼠标,Sensitivity,2.5
鼠标,eDPI,1000
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,250
准星设置,Color,1
准星设置,Blue,165
准星设置,Green,255
准星设置,Red,0
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,120%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,8x MSAA
视频设置,Global Shadow Quality,very_low
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Anisotropic 8x
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,Team Color
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.3
展示皮肤,skins,"['★ Butterfly Knife | Fade (Factory New)', '★ Specialist Gloves | Field Agent (Minimal Wear)', 'AK-47 | Fire Serpent (Field-Tested)', 'M4A1-S | Master Piece (Factory New)', 'AWP | Asiimov (Well-Worn)', 'StatTrak™ Glock-18 | Water Elemental (Field-Tested)', 'USP-S | Kill Confirmed (Field-Tested)', 'Desert Eagle | Code Red (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,ZOWIE EC1-A
外设,Keyboard,Fnatic miniSTREAK
外设,Headset,Fnatic REACT+
外设,Mousepad,Fnatic DASH
