设置,选项名称,值
选手信息,nick,magixx
选手信息,Name,Boris Vorobiev
选手信息,Birthday,"June 3, 2003"
选手信息,Country,Russia
选手信息,Team,Team Spirit
鼠标,model,VAXEE OUTSET AX Yellow
鼠标,DPI,400
鼠标,Sensitivity,1.337
鼠标,eDPI,534.8
鼠标,Zoom Sensitivity,1.20
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Color,4
准星设置,Blue,250
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,1
准星设置,Gap,-3
准星设置,Size,1
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1
持枪 视角,Presetpos,0
视频设置,Resolution,1920x1080
视频设置,Aspect Ratio,16:9
视频设置,Scaling Mode,Native
视频设置,Brightness,80%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,8x MSAA
视频设置,Global Shadow Quality,Very High
视频设置,Model / Texture Detail,Medium
视频设置,Texture Filtering Mode,Anisotropic 4x
视频设置,Shader Detail,High
视频设置,Particle Detail,High
视频设置,Ambient Occlusion,High
视频设置,High Dynamic Range,Quality
视频设置,FidelityFX Super Resolution,Disabled (Highest Quality)
视频设置,NVIDIA Reflex Low Latency,Enabled
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,White
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,No
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,0.8
雷达,Radar Map Zoom,0.315
展示皮肤,skins,"['★ M9 Bayonet | Doppler Phase 1 (Factory New)', '★ Specialist Gloves | Fade (Factory New)', 'AK-47 | The Empress (Factory New)', 'M4A1-S | Blue Phosphor (Factory New)', 'Glock-18 | Candy Apple (Factory New)', 'USP-S | Kill Confirmed (Factory New)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,VAXEE OUTSET AX Yellow
外设,Keyboard,Ducky One 3 TKL Daybreak
外设,Headset,HyperX Cloud Alpha S
外设,Mousepad,Gamesense Radar Asuka
显示器设置,DyAc,Premium
显示器设置,Black eQualizer,15
显示器设置,Color Vibrance,12
显示器设置,Low Blue Light,0
显示器设置,Picture Mode,Gamer 1
显示器设置,Brightness,80
显示器设置,Contrast,66
显示器设置,Sharpness,9
显示器设置,Gamma,Gamma 2
显示器设置,Color Temperature,Bluish
显示器设置,AMA,High
