设置,选项名称,值
选手信息,nick,vsm
选手信息,Name,Vinicius Moreira
选手信息,Birthday,"July 2, 1999"
选手信息,Country,Brazil
选手信息,Team,Fluxo
鼠标,model,ZOWIE EC3-CW
鼠标,DPI,800
鼠标,Sensitivity,1.2
鼠标,eDPI,960
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,1
准星设置,Alpha,999
准星设置,Color,5
准星设置,Blue,165
准星设置,Green,255
准星设置,Red,0
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,1
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,1
持枪 视角,Offset Y,2
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,0
视频设置,Resolution,1920x1080
视频设置,Aspect Ratio,16:9
视频设置,Scaling Mode,Native
视频设置,Brightness,100%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,8x MSAA
视频设置,Global Shadow Quality,High
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Low
视频设置,Ambient Occlusion,Disabled
视频设置,High Dynamic Range,Performance
视频设置,FidelityFX Super Resolution,Disabled (Highest Quality)
视频设置,NVIDIA Reflex Low Latency,Enabled
界面 大小,HUD Scale,0.65
界面 大小,HUD Color,Team Color
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.3
雷达,Radar Map Zoom,1.00
展示皮肤,skins,"['★ Stiletto Knife | Doppler Ruby (Factory New)', '★ Driver Gloves | Crimson Weave (Minimal Wear)', 'AK-47 | Bloodsport (Factory New)', 'M4A1-S | Blue Phosphor (Factory New)', 'AWP | Lightning Strike (Factory New)', 'StatTrak™ Glock-18 | Moonrise (Factory New)', 'StatTrak™ USP-S | Cortex (Minimal Wear)', 'StatTrak™ Desert Eagle | Hypnotic (Factory New)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,ZOWIE EC3-CW
外设,Keyboard,Wooting 60 HE
外设,Headset,Logitech G Pro X Headset
外设,Mousepad,Zowie G-SR II
