设置,选项名称,值
选手信息,nick,afro
选手信息,Name,Aurélien Drapier
选手信息,Birthday,"June 11, 1999"
选手信息,Country,France
选手信息,Team,Fnatic
鼠标,model,Logitech G Pro X Superlight Black
鼠标,DPI,800
鼠标,Sensitivity,1.00
鼠标,eDPI,800
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,2
准星设置,Blue,0
准星设置,Green,0
准星设置,Red,0
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,1.5
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,0
视频设置,Resolution,1600x900
视频设置,Aspect Ratio,16:9
视频设置,Scaling Mode,Unknown
视频设置,Brightness,100%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,4x MSAA
视频设置,Global Shadow Quality,High
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Anisotropic 4x
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.8
界面 大小,HUD Color,Orange
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,No
雷达,Radar Hud Size,1.004714
雷达,Radar Map Zoom,0.4
展示皮肤,skins,"['★ Butterfly Knife | Case Hardened (Minimal Wear)', '★ Driver Gloves | Black Tie (Well-Worn)', 'AK-47 | Bloodsport (Minimal Wear)', 'M4A1-S | Decimator (Factory New)', 'AWP | Fade (Factory New)', 'Glock-18 | Vogue (Field-Tested)', 'USP-S | Ticket to Hell (Field-Tested)', 'Desert Eagle | Trigger Discipline (Field-Tested)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Logitech G Pro X Superlight Black
外设,Keyboard,Wooting 60 HE
外设,Headset,Logitech G Pro X Headset
外设,Mousepad,SteelSeries QcK+
外设,Earphones,KZ ZS10 Pro
