设置,选项名称,值
选手信息,nick,NBK-
选手信息,Name,Nathan Schmitt
选手信息,Birthday,"June 5, 1994"
选手信息,Country,France
选手信息,Team,Falcons Esports
鼠标,model,ZOWIE S2 Divina Blue
鼠标,DPI,800
鼠标,Sensitivity,1.20
鼠标,eDPI,960
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,4
准星设置,Blue,200
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1920x1080
视频设置,Aspect Ratio,16:9
视频设置,Scaling Mode,Native
视频设置,Brightness,86%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,4x MSAA
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Anisotropic 8x
视频设置,Shader Detail,High
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.85
界面 大小,HUD Color,Bright White
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.6
展示皮肤,skins,"['★ Bayonet | Gamma Doppler Emerald (Factory New)', '★ Driver Gloves | King Snake (Field-Tested)', 'AK-47 | Fire Serpent (Field-Tested)', 'Souvenir M4A1-S | Knight (Minimal Wear)', 'AWP | Medusa (Battle-Scarred)', 'StatTrak™ Glock-18 | Water Elemental (Minimal Wear)', 'USP-S | Monster Mashup (Minimal Wear)', 'Desert Eagle | Blaze (Factory New)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,ZOWIE S2 Divina Blue
外设,Keyboard,Wooting two HE
外设,Headset,Razer BlackShark V2
外设,Mousepad,Lethal Gaming Gear Saturn Pro Red
