设置,选项名称,值
选手信息,nick,Wicadia
选手信息,Name,Ali Yalçın
选手信息,Birthday,"March 4, 2005"
选手信息,Country,Turkey
选手信息,Team,Eternal Fire
鼠标,model,Logitech G Pro X Superlight 2 Black
鼠标,DPI,800
鼠标,Sensitivity,1.5
鼠标,eDPI,1200
鼠标,Zoom Sensitivity,1
鼠标,Hz,2000
鼠标,Windows Sensitivity,6
准星设置,Style,4
准星设置,Follow Recoil,Unknown
准星设置,Dot,0
准星设置,Length,1
准星设置,Thickness,1
准星设置,Gap,-4
准星设置,Outline,0
准星设置,Outlinethickness,Unknown
准星设置,Color,2
准星设置,Red,0
准星设置,Green,255
准星设置,Blue,255
准星设置,Alpha,Unknown
准星设置,Alpha Value,255
准星设置,T Style,Unknown
准星设置,Deployed Weapon Gap,Unknown
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,0
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,2x MSAA
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.9
界面 大小,HUD Color,Team Color
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,0.852513
雷达,Radar Map Zoom,0.7
展示皮肤,skins,"['★ Karambit | Doppler Phase 4 (Factory New)', '★ Sport Gloves | Amphibious (Field-Tested)', 'AK-47 | Vulcan (Field-Tested)', 'M4A1-S | Decimator (Minimal Wear)', 'Glock-18 | Blue Fissure (Minimal Wear)', 'USP-S | Printstream (Minimal Wear)', 'Desert Eagle | Printstream (Field-Tested)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,Logitech G Pro X Superlight 2 Black
外设,Keyboard,Logitech G Pro K/DA Keyboard
外设,Headset,HyperX Cloud II
外设,Mousepad,Razer Gigantus V2
显示器设置,DyAc,Premium
显示器设置,Black eQualizer,12
显示器设置,Color Vibrance,13
显示器设置,Low Blue Light,0
显示器设置,Picture Mode,Standard
显示器设置,Brightness,100
显示器设置,Contrast,50
显示器设置,Sharpness,10
显示器设置,Gamma,Gamma 2
显示器设置,Color Temperature,User Define
显示器设置,Red,95
显示器设置,Green,95
显示器设置,Blue,95
显示器设置,AMA,High
