设置,选项名称,值
选手信息,nick,seized
选手信息,Name,Denis Kostin
选手信息,Birthday,"September 9, 1994"
选手信息,Country,Russia
选手信息,Team,9 Pandas
鼠标,model,ZOWIE EC2-CW
鼠标,DPI,400
鼠标,Sensitivity,2
鼠标,eDPI,800
鼠标,Zoom Sensitivity,0.9
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,4
准星设置,Blue,0
准星设置,Green,255
准星设置,Red,0
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,1.5
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,65
持枪 视角,Offset X,2
持枪 视角,Offset Y,2
持枪 视角,Offset Z,-2
持枪 视角,Presetpos,0
视频设置,Resolution,1920x1080
视频设置,Aspect Ratio,16:9
视频设置,Scaling Mode,Native
视频设置,Brightness,81%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,4x MSAA
视频设置,Global Shadow Quality,Low
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Anisotropic 4x
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,White
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.005
雷达,Radar Map Zoom,0.25
展示皮肤,skins,"['★ Classic Knife | Case Hardened (Well-Worn)', 'AK-47 | Phantom Disruptor (Factory New)', 'StatTrak™ AWP | Capillary (Field-Tested)', 'Glock-18 | Vogue (Field-Tested)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,ZOWIE EC2-CW
外设,Keyboard,Logitech G Pro X Keyboard
外设,Headset,Logitech G PRO X 2 Headset White
外设,Mousepad,Logitech G640 Original
