设置,选项名称,值
选手信息,nick,degster
选手信息,Name,Abdul Gasanov
选手信息,Birthday,"July 21, 2001"
选手信息,Country,Russia
选手信息,Team,OG Esports
鼠标,model,VAXEE OUTSET AX
鼠标,DPI,400
鼠标,Sensitivity,2.75
鼠标,eDPI,1100
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,4
准星设置,Blue,255
准星设置,Green,0
准星设置,Red,1
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1920x1080
视频设置,Aspect Ratio,16:9
视频设置,Scaling Mode,Native
视频设置,Brightness,78%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,4x MSAA
视频设置,Global Shadow Quality,High
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Low
视频设置,Ambient Occlusion,Medium
视频设置,High Dynamic Range,Quality
视频设置,FidelityFX Super Resolution,Disabled (Highest Quality)
视频设置,NVIDIA Reflex Low Latency,Enabled + Boost
界面 大小,HUD Scale,0.833
界面 大小,HUD Color,White
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.3079
雷达,Radar Map Zoom,0.429982
展示皮肤,skins,"['★ Butterfly Knife | Gamma Doppler Emerald (Factory New)', '★ Specialist Gloves | Emerald Web (Field-Tested)', 'AK-47 | Wild Lotus (Field-Tested)', 'M4A1-S | Icarus Fell (Factory New)', 'AWP | Dragon Lore (Factory New)', 'Glock-18 | Gamma Doppler Emerald (Minimal Wear)', 'USP-S | Monster Mashup (Minimal Wear)', 'Desert Eagle | Emerald Jörmungandr (Factory New)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,VAXEE OUTSET AX
外设,Keyboard,Razer Huntsman V2
外设,Headset,HyperX Cloud II Wireless
外设,Mousepad,ZOWIE G-SR
显示器设置,DyAc,Off
显示器设置,Black eQualizer,10
显示器设置,Color Vibrance,15
显示器设置,Low Blue Light,7
显示器设置,Picture Mode,FPS 1
显示器设置,Brightness,85
显示器设置,Contrast,70
显示器设置,Sharpness,7
显示器设置,Gamma,Gamma 2
显示器设置,Color Temperature,Normal
显示器设置,AMA,High
