设置,选项名称,值
选手信息,nick,JDC
选手信息,Name,Jon de Castro
选手信息,Birthday,"April 7, 2000"
选手信息,Country,Germany
选手信息,Team,00Nation
鼠标,model,ZOWIE EC2-CW
鼠标,DPI,400
鼠标,Sensitivity,2.10
鼠标,eDPI,840
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,5
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-1
准星设置,Size,1
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,2
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,-1.5
持枪 视角,Offset Z,-2
持枪 视角,Presetpos,0
视频设置,Resolution,1920x1080
视频设置,Aspect Ratio,16:9
视频设置,Scaling Mode,Native
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,4x MSAA
视频设置,Global Shadow Quality,very_low
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,very_low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.85
界面 大小,HUD Color,Light Blue
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.41
展示皮肤,skins,"['★ Butterfly Knife | Slaughter (Factory New)', '★ Sport Gloves | Slingshot (Battle-Scarred)', 'AK-47 | Bloodsport (Field-Tested)', 'M4A1-S | Cyrex (Minimal Wear)', 'AWP | Asiimov (Well-Worn)', 'Glock-18 | Vogue (Field-Tested)', 'USP-S | Kill Confirmed (Field-Tested)', 'StatTrak™ Desert Eagle | Crimson Web (Minimal Wear)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,ZOWIE EC2-CW
外设,Keyboard,Razer Huntsman V2
外设,Headset,Razer BlackShark V2 Pro
外设,Mousepad,Razer Gigantus V2
