设置,选项名称,值
选手信息,nick,dycha
选手信息,Name,Paweł Dycha
选手信息,Birthday,"August 11, 1997"
选手信息,Country,Poland
选手信息,Team,ENCE
鼠标,model,ZOWIE EC2-CW
鼠标,DPI,400
鼠标,Sensitivity,1.86
鼠标,eDPI,744
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,1
准星设置,Color,5
准星设置,Blue,0
准星设置,Green,255
准星设置,Red,155
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,1.5
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Black Bars
视频设置,Brightness,81%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,None
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,Light Blue
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,No
雷达,Radar Hud Size,0.8
雷达,Radar Map Zoom,0.633826
展示皮肤,skins,"['★ Huntsman Knife | Doppler Sapphire (Factory New)', '★ Sport Gloves | Amphibious (Factory New)', 'AK-47 | Redline (Minimal Wear)', 'M4A1-S | Cyrex (Factory New)', 'AWP | Dragon Lore (Factory New)', 'Glock-18 | Gamma Doppler Emerald (Factory New)', 'StatTrak™ USP-S | The Traitor (Factory New)', 'Desert Eagle | Emerald Jörmungandr (Factory New)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,ZOWIE EC2-CW
外设,Keyboard,Xtrfy K5 Compact RGB Transparent White
外设,Headset,Logitech G PRO X 2 Headset Black
外设,Mousepad,ZOWIE G-SR-SE Gris
显示器设置,DyAc,Off
显示器设置,Black eQualizer,20
显示器设置,Color Vibrance,10
显示器设置,Low Blue Light,10
显示器设置,Picture Mode,FPS 2
显示器设置,Brightness,90
显示器设置,Contrast,55
显示器设置,Sharpness,10
显示器设置,Gamma,Gamma 2
显示器设置,Color Temperature,Bluish
显示器设置,AMA,Premium
