设置,选项名称,值
选手信息,nick,danoco
选手信息,Name,Daniel Morgado
选手信息,Birthday,"December 14, 1995"
选手信息,Country,Brazil
选手信息,Team,RED Canids
鼠标,model,VAXEE XE Black
鼠标,DPI,400
鼠标,Sensitivity,2.10
鼠标,eDPI,840
鼠标,Zoom Sensitivity,1.20
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Style,4
准星设置,Follow Recoil,Unknown
准星设置,Dot,1
准星设置,Length,3
准星设置,Thickness,0.5
准星设置,Gap,-2
准星设置,Outline,0
准星设置,Outlinethickness,Unknown
准星设置,Color,5
准星设置,Red,0
准星设置,Green,255
准星设置,Blue,255
准星设置,Alpha,Unknown
准星设置,Alpha Value,255
准星设置,T Style,Unknown
准星设置,Deployed Weapon Gap,Unknown
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,2
持枪 视角,Offset Z,2
持枪 视角,Presetpos,0
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Disabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,4x MSAA
视频设置,Global Shadow Quality,High
视频设置,Model / Texture Detail,High
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,High
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.85
界面 大小,HUD Color,Pink
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.199685
雷达,Radar Map Zoom,0.45036
展示皮肤,skins,"['★ Bayonet | Slaughter (Minimal Wear)', '★ Hand Wraps | Overprint (Field-Tested)', 'StatTrak™ AK-47 | Case Hardened (Minimal Wear)', 'M4A1-S | Golden Coil (Minimal Wear)', 'AWP | Wildfire (Factory New)', 'Glock-18 | Gamma Doppler Emerald (Minimal Wear)', 'Souvenir USP-S | Royal Blue (Minimal Wear)', 'Desert Eagle | Crimson Web (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,VAXEE XE Black
外设,Keyboard,Ducky One 2 Mini
外设,Headset,HyperX Cloud Alpha S
外设,Mousepad,Logitech G640 Original
