设置,选项名称,值
选手信息,nick,torzsi
选手信息,Name,Ádám Torzsás
选手信息,Birthday,"May 17, 2002"
选手信息,Country,Hungary
选手信息,Team,MOUZ
鼠标,model,VAXEE OUTSET AX Wireless Orange
鼠标,DPI,800
鼠标,Sensitivity,1.00
鼠标,eDPI,800
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Gap,-3
准星设置,Outlinethickness,Unknown
准星设置,Red,148
准星设置,Green,0
准星设置,Blue,211
准星设置,Alpha,255
准星设置,Follow Recoil,Unknown
准星设置,Color,1
准星设置,Outline,0
准星设置,Thickness,0
准星设置,Dot,0
准星设置,Deployed Weapon Gap,Unknown
准星设置,Alpha Enabled,Unknown
准星设置,T Style,Unknown
准星设置,Length,1.5
准星设置,Style,4
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2
持枪 视角,Offset Y,2
持枪 视角,Offset Z,-2
持枪 视角,Presetpos,4
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,110%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Disabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,2x MSAA
视频设置,Global Shadow Quality,High
视频设置,Model / Texture Detail,High
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.949692
界面 大小,HUD Color,Blue
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.401027
展示皮肤,skins,"['★ Butterfly Knife | Gamma Doppler Phase 2 (Factory New)', 'StatTrak™ AK-47 | Neon Rider (Minimal Wear)', 'StatTrak™ M4A1-S | Night Terror (Field-Tested)', 'AWP | Lightning Strike (Factory New)', 'StatTrak™ Glock-18 | Vogue (Factory New)', 'StatTrak™ USP-S | Kill Confirmed (Field-Tested)', 'StatTrak™ Desert Eagle | Printstream (Field-Tested)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,VAXEE OUTSET AX Wireless Orange
外设,Keyboard,Razer Huntsman V3 Pro TKL
外设,Headset,Razer BlackShark V2
外设,Mousepad,Razer Gigantus V2
显示器设置,DyAc,Premium
显示器设置,Black eQualizer,6
显示器设置,Color Vibrance,13
显示器设置,Low Blue Light,4
显示器设置,Picture Mode,Standard
显示器设置,Brightness,100
显示器设置,Contrast,50
显示器设置,Sharpness,6
显示器设置,Gamma,Gamma 3
显示器设置,Color Temperature,User Define
显示器设置,Red,100
显示器设置,Green,100
显示器设置,Blue,90
显示器设置,AMA,High
